------------ Data File Created By ActiGraph GT3X+ ActiLife v6.11.5 Firmware v3.2.1 date format M/d/yyyy Filter Normal -----------
Serial Number: NEO1C16110306
Start Time 06:34:00
Start Date 5/15/2014
Epoch Period (hh:mm:ss) 00:01:00
Download Time 14:02:26
Download Date 5/22/2014
Current Memory Address: 0
Current Battery Voltage: 3.74     Mode = 13
--------------------------------------------------
Axis1,Axis2,Axis3,Steps
164,6,38,2
331,390,109,5
419,486,248,5
50,26,15,1
3,0,5,0
797,732,1002,11
3491,3776,2817,23
3893,3660,4802,22
2900,3183,2740,19
9331,6702,12784,42
1401,1971,1363,18
1645,3442,1776,20
1119,2473,1436,14
4865,4397,3940,22
1340,1740,1292,21
363,926,1234,5
473,754,1313,6
60,942,2044,3
726,1084,1517,10
91,331,14,4
169,530,264,3
25,23,214,1
24,6,110,1
160,395,350,3
975,2442,1723,9
289,706,451,3
437,650,715,7
1501,2213,1190,18
412,937,402,6
77,83,285,1
1844,2551,1986,10
1072,1023,1100,10
318,1121,625,6
219,118,896,5
612,121,698,3
1013,2102,2059,7
3589,2883,3499,17
4157,5595,5483,27
3365,7044,6264,31
5794,6350,5204,41
3355,3137,3365,31
3593,4028,4054,20
452,740,180,5
148,384,74,1
299,584,179,3
416,627,280,5
4339,5012,4760,28
3070,3380,4657,35
2145,2296,1843,46
6510,6168,5809,41
3744,4009,3701,31
6778,5891,5874,34
3918,3977,5793,28
2116,2423,3278,17
1761,1361,3243,9
2381,1773,2789,10
507,2022,801,10
760,1627,780,12
6073,5186,6096,35
4049,3550,2999,23
3920,3192,4819,21
1939,2682,2222,19
1195,2094,1650,13
1095,1731,1351,8
4380,5026,5561,33
4545,4745,5456,28
1866,2251,1534,13
714,1026,1050,7
1000,2390,1092,18
3380,4848,3721,25
1227,1325,1385,9
456,241,557,6
376,132,794,5
75,215,453,4
675,1405,1802,8
721,1055,1339,9
486,1093,424,4
385,557,389,4
550,1127,692,9
700,1267,1361,9
743,615,599,16
507,764,493,3
1643,1263,1764,13
1545,1958,973,25
3430,3330,5444,52
997,1727,1221,14
2537,2879,2380,17
376,321,188,5
461,1703,578,12
962,3077,1123,18
773,1171,885,7
734,329,861,10
1160,1609,1131,11
1224,1697,474,15
308,803,92,9
951,1639,682,13
1229,1686,844,15
1185,1951,1025,15
1373,1933,2291,14
1587,2088,2724,42
3426,3440,2887,23
866,553,363,8
1530,2246,1124,12
1254,2283,2299,10
1329,3113,1469,18
716,1210,531,10
643,717,299,13
950,1704,505,10
525,826,283,4
769,172,253,7
1030,1602,901,14
2608,3230,2775,24
3143,4844,3033,21
3203,3335,3417,23
1296,1264,1643,17
1004,743,895,9
2617,2989,3030,15
994,1973,1510,15
925,1355,1263,9
4215,3537,3564,19
309,596,332,7
357,617,92,9
870,972,426,11
600,729,115,7
1080,1011,336,12
779,1502,709,8
1873,1689,1016,10
3113,3915,2376,27
2444,2806,1579,24
260,1637,27,5
1041,1769,481,12
1101,2055,1280,13
659,1340,304,13
1043,1632,975,9
3056,3628,3074,23
2885,3844,2899,28
696,1251,662,3
1112,975,1948,9
269,1108,1067,5
16,461,446,1
475,810,828,4
293,192,1292,3
0,63,394,0
0,25,546,0
74,42,204,1
2,18,140,1
12,5,111,0
799,2260,1445,10
2796,2431,3523,16
1250,2144,1027,13
944,1956,1113,10
868,1658,1083,9
1393,1299,1517,12
1210,1712,2232,13
2234,2818,2648,17
1912,2315,1979,11
1196,1805,1379,13
1124,1415,984,7
1180,1148,1657,12
1383,1989,1506,13
1517,2717,1527,14
1253,1357,1080,10
905,600,1080,4
620,1078,794,9
597,1586,878,12
2430,2456,2486,19
2475,2322,3068,19
6041,5667,7294,38
1916,1820,2590,22
2768,2645,3560,20
2874,4051,3768,22
4699,6203,6043,31
4891,4821,5581,25
3455,4570,4304,19
3861,4524,4118,31
2777,2600,4223,29
2441,2459,3349,25
1438,2105,1706,23
2322,1483,2058,61
1561,1878,1526,28
1857,1059,974,36
2326,1731,2286,50
1556,1383,1770,25
3224,3119,3707,26
1006,1321,2861,13
1477,2753,3636,17
622,999,1943,12
1187,1994,3830,13
1276,735,2476,12
993,847,1925,8
128,632,644,4
1320,1699,2564,15
2060,1853,2524,13
670,464,1276,6
1212,1318,2584,12
3756,2486,4132,18
5234,5095,6786,28
1404,1496,1836,12
2938,3262,3182,18
2432,2052,2788,13
2820,2817,3274,19
2539,2996,2716,15
3428,3613,3070,18
1728,1861,2699,12
2640,1475,4300,14
1951,2038,2156,14
2039,1644,2427,16
1452,734,1641,10
2159,1734,2756,14
1393,3302,2365,14
4031,3600,5234,27
1384,1596,2479,16
1768,1761,2746,12
3173,2984,3799,32
3598,3027,4734,31
164,94,899,2
12,78,337,0
508,275,968,6
2934,2948,3681,20
1393,1580,2601,11
2538,1937,4805,25
1224,1606,3789,15
2633,2424,4087,23
2169,2298,2501,20
9796,6832,6216,41
4770,4276,4762,39
1695,1091,1523,12
816,321,419,3
12,53,96,0
0,31,77,0
0,0,0,0
824,2322,2054,11
110,291,72,2
576,309,398,7
96,42,56,1
0,12,36,0
54,20,145,1
568,416,330,3
0,0,0,0
56,81,12,1
178,84,229,0
699,619,473,9
839,842,1678,21
576,757,355,6
1094,1386,1746,9
0,0,0,0
0,63,0,0
11,50,40,0
0,0,0,0
178,644,164,4
14,94,84,0
257,372,517,3
144,448,134,2
155,70,7,2
511,426,152,4
69,159,2,0
122,55,2,2
0,0,0,0
290,793,304,5
375,713,334,7
2252,1824,1594,10
3063,2633,3009,29
1752,1050,1684,12
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
346,532,727,3
116,212,307,1
0,0,0,0
0,0,0,0
0,0,0,0
2774,3026,2484,13
3207,3552,3482,26
6615,7124,8001,48
2785,3786,3581,29
4210,4240,3453,30
946,1722,1320,7
3826,3113,3751,28
3096,3520,3035,21
1702,1736,2177,10
2433,2475,3259,16
2141,2044,1941,17
2143,3281,1651,23
779,1125,205,17
566,1839,457,8
1504,2196,1118,12
598,1387,181,11
311,1289,200,7
832,1548,295,12
947,2090,601,14
526,1484,991,8
499,398,60,6
542,1129,317,8
931,1290,477,13
583,1120,491,8
624,1124,330,8
503,610,486,9
448,328,178,6
876,930,1001,6
2307,2630,3714,15
1513,3237,1665,18
2375,3223,2235,20
2212,3776,2833,24
3541,4730,5461,26
2020,3523,3732,19
1499,2915,2296,17
2601,3702,3732,24
2783,3495,3031,24
3488,4876,5471,23
547,483,693,4
599,726,1561,8
448,377,626,5
2131,2696,2953,13
302,92,520,2
467,967,545,6
2240,1763,2114,19
980,1786,1967,13
518,719,695,5
49,16,0,1
0,0,0,0
248,293,344,2
146,7,60,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
210,667,273,3
6,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
29,30,0,1
